Account Number,Category,Quantity,UnitPrice,ExtendedPrice
524021,Shirt,6,98.89,593.34
758133,Shirt,4,25.02,100.08
563905,Belt,16,64.58,1033.28
305803,Shirt,18,48.7,876.6
734922,Belt,16,24.66,394.56
563905,Shoes,5,43.15,215.75
296809,Belt,2,54.52,109.04
929400,Belt,8,91.14,729.12
98022,Shoes,13,65.79,855.27
750461,Shirt,8,14.73,117.84
758133,Shirt,14,96.18,1346.52
524021,Shoes,6,81.1,486.6
98022,Shirt,12,38.32,459.84
929400,Shirt,3,51.8,155.4
850140,Shirt,13,40.29,523.77
98022,Shirt,10,22.17,221.7
711951,Shoes,15,43.41,651.15
115138,Shirt,11,67.32,740.52
524021,Shirt,3,17.9,53.7
563905,Shoes,7,44.27,309.89
524021,Shirt,18,51.72,930.96
305803,Shirt,9,22.01,198.09
563905,Shirt,10,36.38,363.8
304860,Shirt,11,63.78,701.58
201259,Shoes,10,56.51,565.1
555594,Shirt,2,10.47,20.94
734922,Shoes,8,21.39,171.12
201259,Shoes,13,26.49,344.37
758133,Shirt,20,95.6,1912
995267,Shoes,17,72.91,1239.47
659366,Shirt,15,89.45,1341.75
305803,Shirt,4,63.39,253.56
305803,Belt,15,51.64,774.6
115138,Shoes,6,72.98,437.88
850140,Shoes,8,63.28,506.24
555594,Belt,15,63.31,949.65
734922,Shoes,10,44.59,445.9
563905,Shoes,7,41.87,293.09
299771,Shoes,4,35,140
659366,Belt,13,68.39,889.07
555594,Shoes,8,82.19,657.52
296809,Shirt,1,58.8,58.8
296809,Belt,16,27.44,439.04
296809,Shoes,14,99.5,1393
929400,Shoes,3,56.34,169.02
995267,Shoes,9,83.87,754.83
296809,Shoes,19,56.63,1075.97
711951,Belt,1,56.95,56.95
524021,Shoes,10,31.81,318.1
995267,Belt,13,40.34,524.42
758133,Shoes,10,91.59,915.9
758133,Shoes,7,95.78,670.46
296809,Shoes,9,90.91,818.19
758133,Shirt,12,24.09,289.08
711951,Shoes,9,10.81,97.29
93356,Belt,3,59.61,178.83
201259,Belt,16,16.3,260.8
929400,Shoes,4,23.08,92.32
524021,Shoes,18,42.01,756.18
676847,Shoes,5,74.02,370.1
93356,Belt,11,77.66,854.26
98022,Shoes,7,14.75,103.25
659366,Shoes,16,38.75,620
929400,Shoes,13,53.39,694.07
676847,Shirt,1,55.51,55.51
305803,Shirt,7,16,112
850140,Shirt,20,63.75,1275
201259,Shoes,15,66.78,1001.7
93356,Shirt,2,75.16,150.32
98022,Shoes,14,34.8,487.2
296809,Belt,14,14.82,207.48
676847,Shirt,4,88.99,355.96
711951,Shoes,13,71.43,928.59
304860,Shoes,6,23.37,140.22
711951,Shoes,19,30.06,571.14
555594,Belt,2,74.42,148.84
659366,Belt,4,38.69,154.76
201259,Shirt,3,16.22,48.66
296809,Shirt,15,63.45,951.75
563905,Shirt,19,78.34,1488.46
299771,Shirt,9,79.63,716.67
750461,Shoes,3,96.59,289.77
524021,Belt,20,66.27,1325.4
115138,Shirt,8,16.11,128.88
850140,Shirt,7,76.23,533.61
524021,Shoes,15,20.61,309.15
995267,Shoes,6,55.05,330.3
299771,Shoes,9,60.33,542.97
929400,Belt,12,96.02,1152.24
555594,Shirt,16,94.05,1504.8
734922,Shoes,19,88.62,1683.78
850140,Shirt,6,38.76,232.56
995267,Belt,10,12.35,123.5
299771,Shoes,3,30.77,92.31
659366,Shirt,14,23.86,334.04
659366,Belt,3,72.43,217.29
296809,Shirt,10,91.46,914.6
850140,Belt,19,75.7,1438.3
563905,Shirt,9,95.53,859.77
305803,Shirt,15,67.57,1013.55
93356,Shoes,3,99.42,298.26
304860,Shoes,9,75.62,680.58
305803,Shoes,9,84.1,756.9
93356,Shoes,11,78.54,863.94
758133,Shirt,3,67.37,202.11
563905,Shoes,15,42.96,644.4
734922,Shoes,2,62.32,124.64
711951,Shirt,7,82.95,580.65
201259,Belt,14,40.79,571.06
304860,Belt,7,38.58,270.06
676847,Shirt,1,99.97,99.97
711951,Shoes,11,96.66,1063.26
563905,Shirt,17,75.69,1286.73
929400,Belt,18,42.02,756.36
115138,Belt,12,80.25,963
929400,Belt,4,70.28,281.12
305803,Shoes,5,49.68,248.4
299771,Shoes,14,73.92,1034.88
296809,Belt,17,69.41,1179.97
850140,Shirt,18,87.42,1573.56
850140,Shirt,20,74.34,1486.8
305803,Shirt,17,59.12,1005.04
850140,Shirt,14,77.4,1083.6
734922,Shoes,15,58.85,882.75
305803,Belt,1,44.77,44.77
201259,Shirt,15,26.93,403.95
93356,Shoes,12,95.96,1151.52
299771,Shirt,8,31.12,248.96
563905,Shoes,7,83.84,586.88
563905,Shoes,4,19.86,79.44
299771,Shirt,3,77.07,231.21
734922,Shoes,15,46.94,704.1
711951,Shirt,11,39.02,429.22
734922,Shirt,2,33.92,67.84
299771,Shirt,11,81.22,893.42
201259,Belt,2,25.42,50.84
563905,Shoes,4,59.07,236.28
304860,Shirt,15,50.2,753
305803,Shoes,3,24.83,74.49
201259,Shoes,12,89.95,1079.4
758133,Shoes,4,67.14,268.56
524021,Shirt,8,22.67,181.36
758133,Shirt,6,50.19,301.14
734922,Shirt,7,46.71,326.97
659366,Shirt,17,75.46,1282.82
750461,Shirt,13,23.73,308.49
711951,Belt,11,71.02,781.22
734922,Shoes,15,77.1,1156.5
758133,Shoes,3,39.99,119.97
201259,Belt,14,95.77,1340.78
850140,Shoes,14,13.93,195.02
555594,Shoes,15,42.09,631.35
201259,Shirt,5,60.51,302.55
296809,Shoes,5,41.58,207.9
734922,Belt,12,89.48,1073.76
850140,Shoes,2,18.29,36.58
304860,Belt,1,23.12,23.12
659366,Shoes,14,53.6,750.4
750461,Shoes,16,72.41,1158.56
201259,Shoes,5,33.2,166
563905,Shirt,20,14.99,299.8
929400,Belt,3,45.6,136.8
750461,Shirt,18,80.7,1452.6
734922,Shoes,4,15.22,60.88
734922,Shoes,13,53.11,690.43
115138,Belt,1,90.21,90.21
676847,Shirt,4,76.81,307.24
98022,Shirt,17,61.31,1042.27
524021,Shirt,7,33,231
995267,Belt,4,36.62,146.48
758133,Shoes,10,72.1,721
524021,Shirt,18,23.74,427.32
750461,Shoes,6,51.13,306.78
93356,Shirt,17,58.55,995.35
299771,Shoes,6,54.27,325.62
305803,Shoes,13,77.78,1011.14
201259,Belt,8,69.58,556.64
676847,Shoes,10,67.36,673.6
299771,Shoes,15,16.55,248.25
929400,Shoes,16,99.13,1586.08
995267,Belt,17,69.11,1174.87
563905,Shirt,12,81.57,978.84
563905,Shirt,20,62.12,1242.4
734922,Shirt,4,96.25,385
98022,Shoes,18,71.34,1284.12
711951,Belt,19,33.1,628.9
296809,Belt,15,38.73,580.95
929400,Shirt,17,43.1,732.7
296809,Belt,16,91.09,1457.44
524021,Shoes,13,60.72,789.36
201259,Belt,3,64.13,192.39
758133,Shoes,14,40.86,572.04
676847,Shoes,1,73.74,73.74
305803,Shirt,6,26.4,158.4
850140,Shoes,19,36.32,690.08
676847,Shoes,17,10.96,186.32
115138,Shirt,17,88.39,1502.63
98022,Shirt,20,94,1880
555594,Shoes,4,34.42,137.68
299771,Shoes,14,68.25,955.5
299771,Shoes,5,89.36,446.8
758133,Shirt,3,44.37,133.11
850140,Shirt,11,69.2,761.2
555594,Belt,12,92.94,1115.28
995267,Shirt,4,54.2,216.8
676847,Belt,3,42.71,128.13
929400,Shirt,4,81.46,325.84
98022,Shoes,9,22.08,198.72
305803,Shirt,8,98.01,784.08
750461,Belt,13,83.6,1086.8
98022,Shoes,1,82.28,82.28
676847,Shirt,16,44.38,710.08
93356,Shoes,5,54.96,274.8
299771,Shirt,7,97.85,684.95
929400,Belt,11,12.27,134.97
563905,Shoes,8,83.88,671.04
929400,Belt,2,31.18,62.36
524021,Belt,13,15.28,198.64
711951,Belt,14,40.48,566.72
563905,Shoes,5,38.73,193.65
201259,Shoes,5,23.38,116.9
711951,Shoes,1,54.04,54.04
734922,Belt,17,25.26,429.42
850140,Shoes,3,46,138
676847,Shoes,8,34.76,278.08
734922,Shirt,1,93.1,93.1
555594,Shirt,10,23.43,234.3
305803,Belt,7,41.77,292.39
676847,Belt,11,53.13,584.43
711951,Shoes,9,90.02,810.18
676847,Shirt,14,37.64,526.96
299771,Shirt,18,50.99,917.82
296809,Shirt,9,67.68,609.12
299771,Shirt,18,19.01,342.18
659366,Shoes,15,19.62,294.3
659366,Belt,14,75.49,1056.86
305803,Belt,1,69.57,69.57
115138,Belt,6,95.08,570.48
305803,Shoes,17,20.45,347.65
305803,Belt,4,85.3,341.2
304860,Shirt,16,63.97,1023.52
299771,Shoes,1,93.72,93.72
758133,Shirt,12,64.09,769.08
93356,Shoes,16,16.59,265.44
115138,Belt,3,52.57,157.71
929400,Shirt,1,34.4,34.4
93356,Shirt,13,45.97,597.61
296809,Shoes,10,37.4,374
750461,Shoes,14,15.58,218.12
995267,Shirt,11,45.24,497.64
734922,Shoes,9,30.49,274.41
758133,Shirt,18,90.84,1635.12
659366,Shoes,1,38.2,38.2
850140,Belt,8,72.29,578.32
850140,Shoes,20,61.03,1220.6
299771,Shirt,18,77.66,1397.88
929400,Shirt,10,16.01,160.1
676847,Shoes,9,61.42,552.78
304860,Shirt,17,64.75,1100.75
296809,Shirt,16,50.36,805.76
305803,Shirt,4,64.91,259.64
758133,Shirt,16,65,1040
305803,Shoes,6,57.28,343.68
676847,Shirt,3,71.55,214.65
995267,Shirt,4,37.74,150.96
201259,Belt,12,41.57,498.84
659366,Belt,13,59.59,774.67
524021,Shirt,20,62.71,1254.2
115138,Shoes,16,37.88,606.08
750461,Shoes,20,83.1,1662
555594,Belt,10,11.81,118.1
929400,Shoes,20,59.1,1182
563905,Belt,8,60.7,485.6
659366,Belt,1,42.83,42.83
734922,Belt,17,76.13,1294.21
201259,Shirt,4,41.09,164.36
659366,Shoes,12,32.84,394.08
296809,Shirt,5,10.81,54.05
115138,Shoes,1,26.19,26.19
115138,Shoes,12,48.63,583.56
305803,Shoes,5,51.82,259.1
750461,Shoes,7,53.36,373.52
711951,Shirt,5,56.33,281.65
304860,Shirt,11,79.58,875.38
734922,Shirt,7,58.95,412.65
850140,Shoes,9,78.44,705.96
995267,Belt,15,54.77,821.55
98022,Shoes,15,73.45,1101.75
929400,Shoes,14,21.01,294.14
524021,Shirt,15,45.99,689.85
524021,Shoes,11,89.8,987.8
734922,Shirt,4,63.74,254.96
296809,Shirt,9,36.35,327.15
299771,Shoes,13,55.99,727.87
296809,Shirt,4,12.28,49.12
659366,Belt,10,64.42,644.2
563905,Shoes,5,29.87,149.35
305803,Shoes,13,66.85,869.05
299771,Shoes,5,13.07,65.35
563905,Belt,5,56.63,283.15
750461,Shirt,19,89.14,1693.66
524021,Shoes,5,67.31,336.55
555594,Shirt,17,11.24,191.08
524021,Shirt,10,73.82,738.2
850140,Belt,15,11.74,176.1
524021,Shoes,5,83.98,419.9
555594,Shirt,6,63.4,380.4
758133,Shirt,15,80.59,1208.85
758133,Shirt,19,31.41,596.79
296809,Belt,9,61.39,552.51
750461,Shoes,15,96,1440
929400,Belt,12,94.51,1134.12
305803,Shirt,15,18.07,271.05
659366,Shoes,13,74.07,962.91
995267,Shirt,16,88.32,1413.12
929400,Belt,4,77.19,308.76
98022,Shoes,18,58.56,1054.08
305803,Shoes,12,81.42,977.04
850140,Shirt,3,68.9,206.7
995267,Belt,19,39.75,755.25
93356,Shirt,11,83.22,915.42
750461,Belt,19,17.25,327.75
659366,Belt,7,41.7,291.9
524021,Shoes,20,44.56,891.2
201259,Belt,4,15.24,60.96
115138,Shirt,1,66.03,66.03
995267,Shoes,8,95.99,767.92
711951,Belt,18,18.29,329.22
929400,Belt,1,50.58,50.58
995267,Belt,6,47.21,283.26
750461,Shirt,3,82.06,246.18
563905,Shoes,18,36.32,653.76
850140,Belt,10,45.33,453.3
296809,Shirt,18,30.34,546.12
995267,Belt,14,23.57,329.98
929400,Shoes,14,16.78,234.92
929400,Shirt,4,92.05,368.2
563905,Shoes,6,25.35,152.1
850140,Shirt,13,28.29,367.77
750461,Shoes,6,70.64,423.84
304860,Shirt,7,32.91,230.37
201259,Belt,10,31.82,318.2
676847,Shirt,12,74.47,893.64
676847,Shoes,6,72.92,437.52
995267,Shirt,14,70.03,980.42
93356,Shirt,19,47.53,903.07
929400,Shirt,5,82.05,410.25
711951,Shoes,16,99.65,1594.4
734922,Shirt,17,49.12,835.04
676847,Shoes,6,52.06,312.36
305803,Shirt,13,71.7,932.1
305803,Shoes,3,37.34,112.02
304860,Belt,20,58.52,1170.4
299771,Shoes,16,18.08,289.28
98022,Shoes,6,81.7,490.2
929400,Shirt,13,89.53,1163.89
299771,Shirt,7,24.63,172.41
305803,Shoes,10,73.08,730.8
929400,Belt,12,52.24,626.88
524021,Belt,4,84.72,338.88
299771,Shirt,13,37.56,488.28
929400,Shirt,18,22.98,413.64
995267,Shoes,2,79.87,159.74
93356,Shirt,7,59.5,416.5
659366,Belt,14,67.01,938.14
201259,Shoes,5,61.76,308.8
750461,Shoes,7,33.16,232.12
299771,Shoes,1,77.22,77.22
296809,Belt,8,55.69,445.52
304860,Shirt,13,72.75,945.75
304860,Shoes,20,71.91,1438.2
758133,Shirt,2,58.02,116.04
296809,Shirt,19,78.72,1495.68
850140,Shirt,8,44.56,356.48
711951,Shoes,19,92.34,1754.46
758133,Shoes,12,19.81,237.72
563905,Belt,2,29.15,58.3
758133,Shirt,8,71.71,573.68
93356,Shoes,13,52.61,683.93
711951,Shoes,4,90.75,363
659366,Shoes,3,50.33,150.99
98022,Shirt,6,96.02,576.12
201259,Shirt,14,66.37,929.18
676847,Shoes,3,59.85,179.55
524021,Shirt,2,66.63,133.26
734922,Shirt,8,94.37,754.96
734922,Shoes,2,37.1,74.2
659366,Belt,1,78.95,78.95
659366,Shirt,7,76.57,535.99
201259,Shirt,10,43.97,439.7
676847,Shirt,6,59,354
850140,Shoes,4,17.63,70.52
555594,Shirt,12,40.03,480.36
115138,Shirt,1,61.73,61.73
563905,Shirt,9,38.76,348.84
750461,Shirt,15,35.73,535.95
299771,Shirt,7,80.19,561.33
929400,Shoes,14,12.35,172.9
98022,Belt,20,38.39,767.8
734922,Belt,11,60.05,660.55
758133,Shoes,15,17.57,263.55
659366,Shoes,9,43.69,393.21
676847,Shoes,18,69.13,1244.34
304860,Belt,3,94.18,282.54
524021,Shirt,17,80.42,1367.14
850140,Shirt,13,31.53,409.89
750461,Shirt,6,18.33,109.98
850140,Shirt,1,73.79,73.79
296809,Shoes,3,10.67,32.01
93356,Shoes,19,53.33,1013.27
296809,Shirt,18,55.23,994.14
296809,Belt,7,77.91,545.37
995267,Shirt,20,28.81,576.2
299771,Shirt,16,31.86,509.76
296809,Shoes,8,28.32,226.56
659366,Shoes,2,88.57,177.14
524021,Shirt,11,52.58,578.38
201259,Belt,14,20.87,292.18
758133,Shirt,7,54.95,384.65
734922,Shirt,11,36.86,405.46
995267,Shirt,5,52.07,260.35
750461,Shirt,19,71.71,1362.49
750461,Shirt,3,71.09,213.27
555594,Shirt,7,60.04,420.28
711951,Shirt,5,55.82,279.1
734922,Shirt,16,24.13,386.08
93356,Belt,20,62.39,1247.8
201259,Shirt,2,83.01,166.02
555594,Shoes,2,58.61,117.22
524021,Shoes,15,98.54,1478.1
659366,Belt,15,20.03,300.45
93356,Shirt,17,71.32,1212.44
711951,Shirt,10,55.04,550.4
93356,Belt,19,95.37,1812.03
750461,Shoes,16,19.83,317.28
995267,Belt,5,50.88,254.4
929400,Shoes,17,36.81,625.77
524021,Shirt,4,42.78,171.12
995267,Shirt,6,87.35,524.1
299771,Belt,10,59.42,594.2
750461,Shoes,3,30.8,92.4
734922,Shoes,14,74.75,1046.5
201259,Shoes,12,73.7,884.4
563905,Shoes,10,36.3,363
93356,Shoes,10,75.72,757.2
758133,Shirt,14,73.07,1022.98
201259,Shirt,19,76.09,1445.71
93356,Shirt,13,45.42,590.46
201259,Belt,10,65.97,659.7
201259,Belt,2,20.06,40.12
296809,Shoes,3,62.25,186.75
659366,Shirt,6,86.2,517.2
758133,Shoes,14,23.97,335.58
115138,Belt,10,10.06,100.6
299771,Shoes,7,34.71,242.97
929400,Shirt,14,31.36,439.04
555594,Shoes,1,96.74,96.74
524021,Belt,1,93.93,93.93
676847,Shirt,9,58.32,524.88
296809,Shoes,8,58.48,467.84
758133,Belt,6,68.7,412.2
758133,Shoes,4,65.73,262.92
555594,Shirt,8,60.4,483.2
93356,Shirt,20,49.97,999.4
711951,Shirt,19,38.38,729.22
734922,Shoes,11,72.2,794.2
659366,Shirt,13,32.24,419.12
750461,Shoes,8,95.39,763.12
659366,Belt,5,73.03,365.15
296809,Shirt,11,33.31,366.41
929400,Belt,3,65.52,196.56
304860,Shoes,5,45.24,226.2
304860,Shirt,20,81.79,1635.8
524021,Shirt,7,91.68,641.76
299771,Shoes,16,68.37,1093.92
296809,Shoes,20,66.43,1328.6
929400,Shirt,3,97.08,291.24
659366,Shoes,11,99.58,1095.38
850140,Shirt,6,63.84,383.04
758133,Shirt,11,75.07,825.77
734922,Shirt,6,17.54,105.24
115138,Shirt,19,71.61,1360.59
995267,Belt,17,92.49,1572.33
995267,Shoes,1,40.04,40.04
758133,Shirt,6,92.02,552.12
93356,Shirt,12,66.41,796.92
995267,Shoes,13,53.32,693.16
299771,Shoes,7,48.69,340.83
734922,Belt,18,75.81,1364.58
995267,Shoes,4,89.88,359.52
524021,Shoes,10,73.73,737.3
296809,Shirt,19,67.1,1274.9
659366,Belt,17,62.47,1061.99
758133,Belt,12,29.83,357.96
758133,Belt,18,24.57,442.26
299771,Shirt,1,27.41,27.41
98022,Shoes,9,92.9,836.1
93356,Shirt,9,95.16,856.44
929400,Shirt,7,77.52,542.64
711951,Shoes,14,40.64,568.96
995267,Shoes,5,54.09,270.45
115138,Shirt,17,62.6,1064.2
758133,Belt,18,93.91,1690.38
711951,Shoes,11,29.2,321.2
304860,Shirt,9,23.99,215.91
929400,Shoes,16,92.41,1478.56
555594,Shoes,2,17.89,35.78
676847,Shoes,19,47.71,906.49
850140,Belt,9,76.78,691.02
750461,Shoes,18,76.54,1377.72
304860,Shirt,5,63.59,317.95
995267,Shoes,20,53.25,1065
201259,Shoes,7,91.2,638.4
296809,Shoes,8,95.17,761.36
524021,Belt,11,54.79,602.69
201259,Shoes,3,62.68,188.04
676847,Shoes,10,72.15,721.5
305803,Shirt,1,78.93,78.93
563905,Shoes,20,37.75,755
563905,Shoes,6,41.95,251.7
676847,Shoes,11,91.04,1001.44
201259,Shoes,18,29.75,535.5
929400,Shoes,4,46.09,184.36
929400,Shirt,17,94.19,1601.23
524021,Shirt,9,76.23,686.07
296809,Shoes,12,39.49,473.88
734922,Shirt,6,88.31,529.86
734922,Shirt,11,58.29,641.19
850140,Shirt,17,80.5,1368.5
659366,Shirt,4,40.8,163.2
524021,Shirt,7,73.69,515.83
750461,Shirt,3,63.58,190.74
563905,Shirt,1,65.61,65.61
758133,Shoes,13,72.07,936.91
524021,Shoes,14,36.6,512.4
555594,Shirt,14,38.93,545.02
734922,Shirt,7,51.72,362.04
304860,Shirt,14,51.11,715.54
555594,Shoes,4,93.9,375.6
995267,Shoes,15,17.68,265.2
850140,Shirt,11,85.24,937.64
995267,Belt,2,53.38,106.76
750461,Shirt,12,39.64,475.68
563905,Shoes,6,83.6,501.6
304860,Shirt,8,74.64,597.12
299771,Shirt,18,13.67,246.06
850140,Shoes,11,72.69,799.59
750461,Belt,7,23.04,161.28
676847,Shirt,3,50.86,152.58
676847,Shoes,6,17.46,104.76
93356,Belt,11,44.93,494.23
850140,Shoes,18,44.87,807.66
750461,Belt,6,54.49,326.94
995267,Shirt,9,41.58,374.22
850140,Shoes,8,80.6,644.8
524021,Shoes,19,67.55,1283.45
305803,Belt,5,16.32,81.6
299771,Shirt,15,21.39,320.85
995267,Belt,19,99.9,1898.1
758133,Shirt,7,48.05,336.35
758133,Belt,18,94.04,1692.72
555594,Shirt,15,94,1410
201259,Shoes,5,26.55,132.75
563905,Shirt,5,64.85,324.25
734922,Belt,5,16.73,83.65
555594,Shoes,7,46.6,326.2
98022,Belt,6,48.13,288.78
296809,Shirt,3,55.6,166.8
296809,Shoes,19,78.56,1492.64
201259,Belt,5,25.46,127.3
563905,Belt,9,43.28,389.52
563905,Shirt,15,41.15,617.25
750461,Shirt,19,39.29,746.51
758133,Belt,9,46.44,417.96
659366,Belt,1,95.03,95.03
98022,Shirt,16,82.77,1324.32
676847,Shoes,6,72.06,432.36
659366,Shoes,5,43.64,218.2
299771,Shoes,2,76.42,152.84
659366,Shirt,11,25.74,283.14
929400,Belt,2,40.68,81.36
659366,Belt,4,12.66,50.64
929400,Shirt,3,21.25,63.75
758133,Shirt,16,96.47,1543.52
750461,Shoes,9,34.83,313.47
524021,Shirt,1,24.9,24.9
929400,Shirt,11,19.26,211.86
555594,Shirt,7,84.46,591.22
850140,Shoes,14,62.03,868.42
299771,Shirt,3,79,237
711951,Shirt,12,31.44,377.28
524021,Belt,2,73.96,147.92
115138,Belt,18,18.41,331.38
555594,Belt,18,39.11,703.98
